Date,Open,High,Low,Close,Volume
9/14/2012,24.6412,24.8921,24.5675,24.6885,600473816
9/17/2012,24.9768,24.9928,24.8075,24.9922,398030336
9/18/2012,24.9957,25.0832,24.8721,25.0682,373503096
9/19/2012,25.0093,25.1425,24.9846,25.075,326860284
9/20/2012,24.97,25.0021,24.7721,24.9535,336568092
9/21/2012,25.086,25.181,24.9772,25.0034,571588984
9/24/2012,24.5307,24.8257,24.3928,24.671,639745532
9/25/2012,24.5807,24.7421,24.0357,24.055,518762116
9/26/2012,23.8835,24.0246,23.6143,23.7564,576704256
9/27/2012,23.7246,24.3632,23.5839,24.3328,594088912
9/28/2012,24.241,24.3253,23.8125,23.8252,535108756
10/1/2012,23.97,24.1696,23.4464,23.5496,543584028
10/2/2012,23.636,23.7982,23.2375,23.6182,627991344
10/3/2012,23.745,23.995,23.6653,23.9803,424279272
10/4/2012,23.9732,24.0803,23.7696,23.8143,370755592
10/5/2012,23.7571,23.7857,23.26,23.3068,594005136
10/8/2012,23.1028,23.1271,22.7182,22.7918,637979964
10/9/2012,22.8089,22.8746,22.2696,22.7089,838596356
10/10/2012,22.8478,23.035,22.75,22.8896,510356284
10/11/2012,23.0893,23.1143,22.4321,22.4321,546080736
10/12/2012,22.4843,22.6921,22.3321,22.4898,460015092
10/15/2012,22.5839,22.6832,22.2803,22.67,432500248
10/16/2012,22.6918,23.225,22.5357,23.2069,549771812
10/17/2012,23.1739,23.3139,23,23.0219,389310960
10/18/2012,22.8425,22.9307,22.5,22.5943,476622300
10/19/2012,22.5375,22.5632,21.7721,21.78,744084840
10/22/2012,21.8721,22.6921,21.8128,22.6439,546729888
10/23/2012,22.5357,22.6393,21.8464,21.9055,707145408
10/24/2012,22.1943,22.3768,21.8085,22.0296,558527532
10/25/2012,22.1428,22.2143,21.6268,21.7692,656326032
10/26/2012,21.7653,21.9285,21.1071,21.5714,1018424184
10/31/2012,21.2457,21.4985,20.9893,21.2614,510002364
11/1/2012,21.365,21.5357,21.2203,21.305,361448104
11/2/2012,21.2818,21.3196,20.5268,20.6,599373076
11/5/2012,20.8398,20.9918,20.6286,20.8793,529285200
11/6/2012,21.0796,21.0978,20.7175,20.816,374916536
11/7/2012,20.4941,20.5193,19.8482,19.9286,793649368
11/8/2012,20.0225,20.0796,19.1175,19.2053,1056146272
11/9/2012,19.3007,19.8171,19.0614,19.5378,929906912
11/12/2012,19.791,19.8036,19.2375,19.3868,515802624
11/13/2012,19.2468,19.66,19.1557,19.3892,533211028
11/14/2012,19.4821,19.5518,19.1493,19.1743,477168412
11/15/2012,19.1975,19.2678,18.665,18.7721,789910356
11/16/2012,18.7571,18.9286,18.0625,18.8456,1266892400
11/19/2012,19.311,20.2678,19.2814,20.2046,823172596
11/20/2012,20.4253,20.4268,19.8064,20.0326,642752064
11/21/2012,20.1518,20.2632,19.8786,20.0607,373227352
11/23/2012,20.256,20.4286,20.0928,20.4107,272826588
11/26/2012,20.5678,21.0714,20.4896,21.0546,630578548
11/27/2012,21.0553,21.0864,20.7178,20.885,533314516
11/28/2012,20.6168,20.9214,20.4378,20.8193,521060360
11/29/2012,21.0791,21.2232,20.9018,21.0486,514698752
11/30/2012,20.9568,21.0143,20.81,20.9028,391300276
12/3/2012,21.2018,21.2353,20.9107,20.9353,364276752
12/4/2012,20.7786,20.7786,20.4332,20.5659,557929900
12/5/2012,20.3182,20.3303,19.2418,19.2426,1044638484
12/6/2012,18.8907,19.7611,18.5225,19.5444,1177208536
12/7/2012,19.7643,19.8285,18.9286,19.0446,787768016
12/10/2012,18.75,19.2325,18.6278,18.9222,630483124
12/11/2012,19.2775,19.6271,19.1918,19.3353,592344400
12/12/2012,19.5632,19.5714,19.1525,19.25,487132836
12/13/2012,18.9696,19.2014,18.7786,18.9175,625258992
12/14/2012,18.3839,18.5047,18.0564,18.2069,1009578864
12/17/2012,18.1761,18.5714,17.9011,18.5296,758945012
12/18/2012,18.75,19.1035,18.5803,19.0678,625668912
12/19/2012,18.9811,19.0607,18.7678,18.7968,449362172
12/20/2012,18.9286,18.9357,18.5314,18.6332,481687840
12/21/2012,18.3025,18.5596,18.2228,18.5475,596518868
12/24/2012,18.5839,18.7232,18.5253,18.5774,175748080
12/26/2012,18.5357,18.5521,18.2543,18.3214,302436392
12/27/2012,18.3407,18.4375,18.0236,18.395,455119116
12/28/2012,18.2246,18.3743,18.1471,18.1996,354277352
12/31/2012,18.2332,19.1214,18.1786,19.0062,659491600
1/2/2013,19.7793,19.8214,19.3439,19.6082,560500080
1/3/2013,19.5671,19.631,19.3214,19.3606,352964208
1/4/2013,19.1773,19.2368,18.7796,18.8214,594328144
1/7/2013,18.6428,18.9036,18.4,18.7107,484153188
1/8/2013,18.9003,18.996,18.6161,18.7611,458707516
1/9/2013,18.6607,18.7502,18.4282,18.4678,407600240
1/10/2013,18.8768,18.8828,18.4114,18.6968,601141784
1/11/2013,18.6071,18.7614,18.5364,18.5821,350755368
1/14/2013,17.9528,18.125,17.8039,17.9196,734178204
1/15/2013,17.7964,17.8211,17.2635,17.3543,876772716
1/16/2013,17.6657,18.1943,17.5893,18.0746,690801008
1/17/2013,18.2253,18.2411,17.9296,17.9528,453650768
1/18/2013,17.8041,17.9364,17.7286,17.8571,473149400
1/22/2013,18.02,18.1385,17.7368,18.0275,461545124
1/23/2013,18.1718,18.3925,18.0275,18.3573,861504412
1/24/2013,16.4286,16.6332,16.0803,16.0893,1460853300
1/25/2013,16.1318,16.2939,15.5357,15.71,1207975412
1/28/2013,15.6366,16.1861,15.5664,16.0653,785516368
1/29/2013,16.375,16.4357,16.1471,16.3668,571072440
1/30/2013,16.3214,16.5214,16.2321,16.3153,417153712
1/31/2013,16.3207,16.4028,16.2493,16.2675,319333204
2/1/2013,16.3968,16.41,16.0125,16.2007,539468696
2/4/2013,16.2111,16.2836,15.7857,15.797,477115548
2/5/2013,15.8589,16.4193,15.7936,16.3516,573346940
2/6/2013,16.3025,16.6607,16.1636,16.3339,593704528
2/7/2013,16.5446,16.7857,16.2186,16.7221,704581056
2/8/2013,16.9286,17.1003,16.7232,16.9636,633156344
2/11/2013,17.0178,17.3193,16.9018,17.1403,517434692
2/12/2013,17.1253,17.2278,16.7051,16.7107,609051680
2/13/2013,16.6861,16.9157,16.5436,16.6789,475205272
2/14/2013,16.59,16.8443,16.5721,16.6639,355506412
2/15/2013,16.7446,16.7914,16.4257,16.4343,391925152
2/19/2013,16.4678,16.5261,16.2089,16.4282,435777340
2/20/2013,16.3461,16.3461,16.0286,16.0303,476300188
2/21/2013,15.9286,16.0418,15.815,15.9307,447181108
2/22/2013,16.0446,16.1286,15.95,16.1003,330654960
2/25/2013,16.2089,16.2543,15.8061,15.8143,372578228
2/26/2013,15.8507,16.1264,15.6307,16.0346,501496628
2/27/2013,16.0153,16.1586,15.7375,15.8775,587348296
2/28/2013,15.8589,15.9953,15.7643,15.7643,322515268
3/1/2013,15.6428,15.6493,15.3564,15.3739,552447720
3/4/2013,15.2786,15.2928,14.9643,15.0018,582738372
3/5/2013,15.0528,15.5425,15.0268,15.398,638428860
3/6/2013,15.5182,15.5446,15.1582,15.2022,460249592
3/7/2013,15.1607,15.4289,15.0378,15.3779,468471744
3/8/2013,15.35,15.5511,15.3075,15.4186,391596348
3/11/2013,15.3482,15.6789,15.1836,15.6382,474234008
3/12/2013,15.5571,15.6743,15.2703,15.3011,465910412
3/13/2013,15.3018,15.5178,15.1914,15.2982,405817200
3/14/2013,15.4582,15.5228,15.3732,15.4464,303875340
3/15/2013,15.6403,15.8653,15.6161,15.845,643959872
3/18/2013,15.7661,16.3378,15.7571,16.2757,606197020
3/19/2013,16.4107,16.4632,16.0178,16.2318,526773708
3/20/2013,16.3364,16.3439,16.0568,16.1457,308660940
3/21/2013,16.0793,16.3564,16.075,16.1689,383253992
3/22/2013,16.235,16.5036,16.1825,16.4968,395104780
3/25/2013,16.5961,16.7839,16.4921,16.5564,501134196
3/26/2013,16.6228,16.6371,16.4475,16.4691,294293956
3/27/2013,16.3021,16.3143,16.0975,16.1457,331409532
3/28/2013,16.065,16.1364,15.7721,15.8093,442982756
4/1/2013,15.7821,15.8463,15.2764,15.3182,389730316
4/2/2013,15.2714,15.6478,15.2286,15.3497,529773520
4/3/2013,15.4061,15.6171,15.3682,15.4282,363215268
